Question #5,Response
Your feedback helps us to better ourselves daily. Any suggestions?,It was a good session
Your feedback helps us to better ourselves daily. Any suggestions?,Good session
Your feedback helps us to better ourselves daily. Any suggestions?,Best tutorial
Your feedback helps us to better ourselves daily. Any suggestions?,"I learnt something good today 
"
Your feedback helps us to better ourselves daily. Any suggestions?,good
Your feedback helps us to better ourselves daily. Any suggestions?,Nice
Your feedback helps us to better ourselves daily. Any suggestions?,No
Your feedback helps us to better ourselves daily. Any suggestions?,Topics are getting more complex as we move on to higher sections so it will be good if you find out a way to explain the things in general in a much easier way
Your feedback helps us to better ourselves daily. Any suggestions?,nil
Your feedback helps us to better ourselves daily. Any suggestions?,Nothing
Your feedback helps us to better ourselves daily. Any suggestions?,Give some more examples.
Your feedback helps us to better ourselves daily. Any suggestions?,"It was nice session, I learnt a lot "
Your feedback helps us to better ourselves daily. Any suggestions?,Good learning
Your feedback helps us to better ourselves daily. Any suggestions?,good
Your feedback helps us to better ourselves daily. Any suggestions?,The projects explained very well. Thank you.
Your feedback helps us to better ourselves daily. Any suggestions?,Good
Your feedback helps us to better ourselves daily. Any suggestions?,good
Your feedback helps us to better ourselves daily. Any suggestions?,Amazing projects
Your feedback helps us to better ourselves daily. Any suggestions?,good
Your feedback helps us to better ourselves daily. Any suggestions?,Interactive
Your feedback helps us to better ourselves daily. Any suggestions?,Everything is good
Your feedback helps us to better ourselves daily. Any suggestions?,No
Your feedback helps us to better ourselves daily. Any suggestions?,There is a Missing of video telling about local storage in the task project
Your feedback helps us to better ourselves daily. Any suggestions?,nil
Your feedback helps us to better ourselves daily. Any suggestions?,Nice
Your feedback helps us to better ourselves daily. Any suggestions?,nothing
Your feedback helps us to better ourselves daily. Any suggestions?,video is good .we can understand properly .thank you
Your feedback helps us to better ourselves daily. Any suggestions?,This is one of the good initiative to teach in kannada. Very helpful to understand the topics . Thank you
Your feedback helps us to better ourselves daily. Any suggestions?,"This is a very good course by you...It has helped me a lot... I was a begginer and now i have improved my level..and also well thought by Manikanta sir.. 
Thank you.."
Your feedback helps us to better ourselves daily. Any suggestions?,This is a good platform to learn and the way you are explaining is good and more attractive. The quality of video is good.. Best experience......
Your feedback helps us to better ourselves daily. Any suggestions?,The course is exallent. I learnt something new
Your feedback helps us to better ourselves daily. Any suggestions?,Thank you. It is very usefull
Your feedback helps us to better ourselves daily. Any suggestions?,Thank you making us learn in a easy way.
Your feedback helps us to better ourselves daily. Any suggestions?,Thank you for the free session it helped me a lot
Your feedback helps us to better ourselves daily. Any suggestions?,thank you for doing tutorials in kannada
Your feedback helps us to better ourselves daily. Any suggestions?,Please provide more good courses free of cost and teaching was great 👍
Your feedback helps us to better ourselves daily. Any suggestions?,No suggestions.It is good actually.I have learnt lot of things in this video.
Your feedback helps us to better ourselves daily. Any suggestions?,Just awesome platform to learn technology !!!
Your feedback helps us to better ourselves daily. Any suggestions?,its upto the mark
Your feedback helps us to better ourselves daily. Any suggestions?,"It's very usefull to students because everyone learn about JavaScript,it's really nice
"
Your feedback helps us to better ourselves daily. Any suggestions?,It's very helpful to learn something
Your feedback helps us to better ourselves daily. Any suggestions?,It's very good
Your feedback helps us to better ourselves daily. Any suggestions?,It's really good
Your feedback helps us to better ourselves daily. Any suggestions?,It's helpful
Your feedback helps us to better ourselves daily. Any suggestions?,It's good plateform for students
Your feedback helps us to better ourselves daily. Any suggestions?,It's good
Your feedback helps us to better ourselves daily. Any suggestions?,It was very useful and learnt  new things
Your feedback helps us to better ourselves daily. Any suggestions?,It was very useful and learned few things
Your feedback helps us to better ourselves daily. Any suggestions?,It was really helped me to learn Java easily and nice explaination 😁👍
Your feedback helps us to better ourselves daily. Any suggestions?,It was excellent
Your feedback helps us to better ourselves daily. Any suggestions?,it helps alot for the beginner and who are not capable to grab english it very helpful for us thank you
Your feedback helps us to better ourselves daily. Any suggestions?,"I was expecting some material like codes which are used to explain things.
Other than that I am very happy in learning all these things in kannada...
"
Your feedback helps us to better ourselves daily. Any suggestions?,Good!
Your feedback helps us to better ourselves daily. Any suggestions?,Good work sir. It helped me a lot. Thank you sir
Your feedback helps us to better ourselves daily. Any suggestions?,Good attempt and the teaching in regional language made it more comfortable for learning.
Your feedback helps us to better ourselves daily. Any suggestions?,"Good
"
Your feedback helps us to better ourselves daily. Any suggestions?,Good
Your feedback helps us to better ourselves daily. Any suggestions?,Good
Your feedback helps us to better ourselves daily. Any suggestions?,Good
Your feedback helps us to better ourselves daily. Any suggestions?,good
Your feedback helps us to better ourselves daily. Any suggestions?,good
Your feedback helps us to better ourselves daily. Any suggestions?,Good
Your feedback helps us to better ourselves daily. Any suggestions?,good
Your feedback helps us to better ourselves daily. Any suggestions?,Excellent course content and teaching!!
Your feedback helps us to better ourselves daily. Any suggestions?,Excellent coach.
Your feedback helps us to better ourselves daily. Any suggestions?,continue the same way of teaching.
Your feedback helps us to better ourselves daily. Any suggestions?,"comparison and conditions is repeated two times, heading is type conversion and cohesion but the video is comparison and conditions. other than this explaining the concepts is excellent."
Your feedback helps us to better ourselves daily. Any suggestions?,best course
Your feedback helps us to better ourselves daily. Any suggestions?,awesome
Your feedback helps us to better ourselves daily. Any suggestions?,No suggestions
Your feedback helps us to better ourselves daily. Any suggestions?,no
Your feedback helps us to better ourselves daily. Any suggestions?,NO
Your feedback helps us to better ourselves daily. Any suggestions?,"let myopinion;
console.log(
""Its good to understand the concepts clear through our native Kannada language I was not able to understand the basics in my BCA lectures but I got hold of it here every explanation is good and I am learning something new everyday thank you, sir "");"
Your feedback helps us to better ourselves daily. Any suggestions?,"Sir, give more programming examples"
Your feedback helps us to better ourselves daily. Any suggestions?,Please let me know whether code whatever is discussed is available for download or not?
Your feedback helps us to better ourselves daily. Any suggestions?,More explains
Your feedback helps us to better ourselves daily. Any suggestions?,If possible start android studio course it may help for students
Your feedback helps us to better ourselves daily. Any suggestions?,A bit more explanation of topics with more examples.
Your feedback helps us to better ourselves daily. Any suggestions?,i learnt something new today
Your feedback helps us to better ourselves daily. Any suggestions?,Easy to understand
Your feedback helps us to better ourselves daily. Any suggestions?,good
Your feedback helps us to better ourselves daily. Any suggestions?,Good
Your feedback helps us to better ourselves daily. Any suggestions?,I studied new
Your feedback helps us to better ourselves daily. Any suggestions?,Good
Your feedback helps us to better ourselves daily. Any suggestions?,good job
Your feedback helps us to better ourselves daily. Any suggestions?,It was good
Your feedback helps us to better ourselves daily. Any suggestions?,good one
Your feedback helps us to better ourselves daily. Any suggestions?,Really loving it
Your feedback helps us to better ourselves daily. Any suggestions?,Thank you.
Your feedback helps us to better ourselves daily. Any suggestions?,very nice sessions
Your feedback helps us to better ourselves daily. Any suggestions?,good
Your feedback helps us to better ourselves daily. Any suggestions?,Continue samething
Your feedback helps us to better ourselves daily. Any suggestions?,good one
Your feedback helps us to better ourselves daily. Any suggestions?,"All good.
Small suggestion - we will scare by looking into that lengthy HTML code,it would be helpful if some intro is given on  that code also."
Your feedback helps us to better ourselves daily. Any suggestions?,It's really usefu
Your feedback helps us to better ourselves daily. Any suggestions?,Awesome
Your feedback helps us to better ourselves daily. Any suggestions?,the same feedback given in the last chapter. Excellent taught by Manikanta sir..
Your feedback helps us to better ourselves daily. Any suggestions?,Good
Your feedback helps us to better ourselves daily. Any suggestions?,It was good
Your feedback helps us to better ourselves daily. Any suggestions?,its good tutorial and i am learning something new
Your feedback helps us to better ourselves daily. Any suggestions?,G
Your feedback helps us to better ourselves daily. Any suggestions?,It is help me to learn lot of things .Good keep it up
Your feedback helps us to better ourselves daily. Any suggestions?,Easy to learn.
Your feedback helps us to better ourselves daily. Any suggestions?,Thank you
Your feedback helps us to better ourselves daily. Any suggestions?,Excellent
Your feedback helps us to better ourselves daily. Any suggestions?,Explanation is good and understanding......
Your feedback helps us to better ourselves daily. Any suggestions?,Good
Your feedback helps us to better ourselves daily. Any suggestions?,Nothing
Your feedback helps us to better ourselves daily. Any suggestions?,"Nothing
"
Your feedback helps us to better ourselves daily. Any suggestions?,NA
Your feedback helps us to better ourselves daily. Any suggestions?,No
Your feedback helps us to better ourselves daily. Any suggestions?,some more practical would be nice. sir .thank you .we can understand the videos clearly
Your feedback helps us to better ourselves daily. Any suggestions?,This lesson was little bit difficult to understand
Your feedback helps us to better ourselves daily. Any suggestions?,Provide more courses
Your feedback helps us to better ourselves daily. Any suggestions?,Okay
Your feedback helps us to better ourselves daily. Any suggestions?,SKIP
Your feedback helps us to better ourselves daily. Any suggestions?,More explanation on programs and how that program works.
Your feedback helps us to better ourselves daily. Any suggestions?,"In this section I thought that ""If I could have got the html and css page used in the DOM Section, it would be easy for me to work with the Section""."
Your feedback helps us to better ourselves daily. Any suggestions?,did not explain what is json in the last vedio of this module.
Your feedback helps us to better ourselves daily. Any suggestions?,Easy to understand
Your feedback helps us to better ourselves daily. Any suggestions?,Learnt new in each video
Your feedback helps us to better ourselves daily. Any suggestions?,It was good
Your feedback helps us to better ourselves daily. Any suggestions?,Amazing projects. Got to learn new things. Thank you.
Your feedback helps us to better ourselves daily. Any suggestions?,Thank you.
Your feedback helps us to better ourselves daily. Any suggestions?,it was very help full to learn this thank you
Your feedback helps us to better ourselves daily. Any suggestions?,good
Your feedback helps us to better ourselves daily. Any suggestions?,Continue in same manner
Your feedback helps us to better ourselves daily. Any suggestions?,good.thank you
Your feedback helps us to better ourselves daily. Any suggestions?,Good
Your feedback helps us to better ourselves daily. Any suggestions?,Good
Your feedback helps us to better ourselves daily. Any suggestions?,Nice
Your feedback helps us to better ourselves daily. Any suggestions?,extremely good
Your feedback helps us to better ourselves daily. Any suggestions?,"well taught
"
Your feedback helps us to better ourselves daily. Any suggestions?,Good
Your feedback helps us to better ourselves daily. Any suggestions?,It was good
Your feedback helps us to better ourselves daily. Any suggestions?,"Good
"
Your feedback helps us to better ourselves daily. Any suggestions?,It is good.keep it up
Your feedback helps us to better ourselves daily. Any suggestions?,Thanks for the usefull content
Your feedback helps us to better ourselves daily. Any suggestions?,Excellent
Your feedback helps us to better ourselves daily. Any suggestions?,It's really good
Your feedback helps us to better ourselves daily. Any suggestions?,no issue
Your feedback helps us to better ourselves daily. Any suggestions?,Nothing
Your feedback helps us to better ourselves daily. Any suggestions?,ossum
Your feedback helps us to better ourselves daily. Any suggestions?,Nothing
Your feedback helps us to better ourselves daily. Any suggestions?,no
Your feedback helps us to better ourselves daily. Any suggestions?,"Nothing
"
Your feedback helps us to better ourselves daily. Any suggestions?,Good
Your feedback helps us to better ourselves daily. Any suggestions?,Found very useful
Your feedback helps us to better ourselves daily. Any suggestions?,Good
Your feedback helps us to better ourselves daily. Any suggestions?,Good
Your feedback helps us to better ourselves daily. Any suggestions?,good one
Your feedback helps us to better ourselves daily. Any suggestions?,Nothing to be changed...
Your feedback helps us to better ourselves daily. Any suggestions?,Thank you
Your feedback helps us to better ourselves daily. Any suggestions?,good
Your feedback helps us to better ourselves daily. Any suggestions?,very helpfull sessions
Your feedback helps us to better ourselves daily. Any suggestions?,good
Your feedback helps us to better ourselves daily. Any suggestions?,It was really good
Your feedback helps us to better ourselves daily. Any suggestions?,thank you
Your feedback helps us to better ourselves daily. Any suggestions?,"Good experience
Thank you."
Your feedback helps us to better ourselves daily. Any suggestions?,Nice
Your feedback helps us to better ourselves daily. Any suggestions?,superb
Your feedback helps us to better ourselves daily. Any suggestions?,same like the last video
Your feedback helps us to better ourselves daily. Any suggestions?,Good
Your feedback helps us to better ourselves daily. Any suggestions?,Good
Your feedback helps us to better ourselves daily. Any suggestions?,Good .Keep it up
Your feedback helps us to better ourselves daily. Any suggestions?,Excellent
Your feedback helps us to better ourselves daily. Any suggestions?,Good platform to learn new languages....
Your feedback helps us to better ourselves daily. Any suggestions?,It's really very good
Your feedback helps us to better ourselves daily. Any suggestions?,No suggestions
Your feedback helps us to better ourselves daily. Any suggestions?,Nothing
Your feedback helps us to better ourselves daily. Any suggestions?,Nothing
Your feedback helps us to better ourselves daily. Any suggestions?,nothing
Your feedback helps us to better ourselves daily. Any suggestions?,Good teaching but these all are simple examples
Your feedback helps us to better ourselves daily. Any suggestions?,It was good
Your feedback helps us to better ourselves daily. Any suggestions?,So far its good. Learning in Kannnada is helping out to grasp things quickly over all making it to learn in an interesting way.
Your feedback helps us to better ourselves daily. Any suggestions?,All good so far.
Your feedback helps us to better ourselves daily. Any suggestions?,Nicely explained  by relating to practical examples
Your feedback helps us to better ourselves daily. Any suggestions?,everything is good
Your feedback helps us to better ourselves daily. Any suggestions?,"Nothing to suggest,the idea of teaching in kannada has helped me in understanding better"
Your feedback helps us to better ourselves daily. Any suggestions?,awesome
Your feedback helps us to better ourselves daily. Any suggestions?,Nothing suggestions it's actually a good as I m biology students it helped me a lot to learn coding
Your feedback helps us to better ourselves daily. Any suggestions?,good
Your feedback helps us to better ourselves daily. Any suggestions?,Explanations would be better if it was crisp and faster. because the person who is explaining has same tone and frequency !  just a suggestion. But Great Work Guys.!!!!!!
Your feedback helps us to better ourselves daily. Any suggestions?,course   was   excellent
Your feedback helps us to better ourselves daily. Any suggestions?,good
Your feedback helps us to better ourselves daily. Any suggestions?,awesome thing... u guys made python very very easy which can be learnt in our mother tongue.... thank you...
Your feedback helps us to better ourselves daily. Any suggestions?,no
Your feedback helps us to better ourselves daily. Any suggestions?,No as of now
Your feedback helps us to better ourselves daily. Any suggestions?,Nothing
Your feedback helps us to better ourselves daily. Any suggestions?,"guessing game would have been better with the random library
import random
num = random.randint(x,y)"
Your feedback helps us to better ourselves daily. Any suggestions?,"cover some more topics like  eval, slicing etc"
Your feedback helps us to better ourselves daily. Any suggestions?,"I think coding should be more it's just basics I guess, next classes I hope there are intermediate level codes."
Your feedback helps us to better ourselves daily. Any suggestions?,"Keep it up , just go slow little bit"
Your feedback helps us to better ourselves daily. Any suggestions?,"If you can more quiz question and also more no of practice projects,  it will give hands on experience. Also it wil help to validate whatever we have learnt so far"
Your feedback helps us to better ourselves daily. Any suggestions?,"i felt the import function where u import math library. The example could be better. I felt the the different rooms example u told could be explained a lil better. Its not very clear why we import different libraries. But, everything else was pretty good, crisp and clear"
Your feedback helps us to better ourselves daily. Any suggestions?,Creat an app it is very useful
Your feedback helps us to better ourselves daily. Any suggestions?,make more example different way
Your feedback helps us to better ourselves daily. Any suggestions?,explanation is very good. As its in Kannada and the video helps beginners to learn things faster. Only thing with video in full screen mode there is no next video option.  I have to come out of full screen and click on complete and move to next video.
Your feedback helps us to better ourselves daily. Any suggestions?,The way of explanation is very well and the explanation in kannada is helping me to understand the course better. Thank you.
Your feedback helps us to better ourselves daily. Any suggestions?,"Nice 
"
Your feedback helps us to better ourselves daily. Any suggestions?,Superb course
Your feedback helps us to better ourselves daily. Any suggestions?,"good
"
Your feedback helps us to better ourselves daily. Any suggestions?,nice thing .... im very  happy to learn
Your feedback helps us to better ourselves daily. Any suggestions?,nothing
Your feedback helps us to better ourselves daily. Any suggestions?,trickier concepts could have been dealt
Your feedback helps us to better ourselves daily. Any suggestions?,"More examples should be given as coding homework,and should be solved later"
Your feedback helps us to better ourselves daily. Any suggestions?,"PLEASE ADD SOME DATASCIENCE COURSES
"
Your feedback helps us to better ourselves daily. Any suggestions?,"real time example explanation is good. Video and audio quality is good. I guess we should focus on voice modulation, bring the teaching enthusiasm while teaching."
Your feedback helps us to better ourselves daily. Any suggestions?,if we get a Query session it would help the most.
Your feedback helps us to better ourselves daily. Any suggestions?,Explanation and the course content was good and very helpful. Thank you.
Your feedback helps us to better ourselves daily. Any suggestions?,thank you
Your feedback helps us to better ourselves daily. Any suggestions?,it  was  good seesion
Your feedback helps us to better ourselves daily. Any suggestions?,"keep it up,Good"
Your feedback helps us to better ourselves daily. Any suggestions?,everything is good
Your feedback helps us to better ourselves daily. Any suggestions?,Good
Your feedback helps us to better ourselves daily. Any suggestions?,no comments and no suggestion u made it  . This program is helpful to me a lot please do the data science or Django in Kannada it helps to land on Kannadigas in the MNC company
Your feedback helps us to better ourselves daily. Any suggestions?,Great Course
Your feedback helps us to better ourselves daily. Any suggestions?,"I like the real-time examples, helps understand and co-relate. PyPi and pip explanation was good. "
Your feedback helps us to better ourselves daily. Any suggestions?,"good
"
Your feedback helps us to better ourselves daily. Any suggestions?,"great job
"
Your feedback helps us to better ourselves daily. Any suggestions?,Nothing
Your feedback helps us to better ourselves daily. Any suggestions?,Till File IO its good. But Need more example starting from Oops to end of Advanced concept. It was bit confusing
Your feedback helps us to better ourselves daily. Any suggestions?,please  set  the quiz  for  each concept..it  helps a lot
Your feedback helps us to better ourselves daily. Any suggestions?,classes and objects should be explained more.
Your feedback helps us to better ourselves daily. Any suggestions?,Explanation is very good. Thank you.
Your feedback helps us to better ourselves daily. Any suggestions?,Superb course
Your feedback helps us to better ourselves daily. Any suggestions?,nothing
